TITLE;URL
Versión 0.1 De Humitos;humitos1
Laubenech3;laubenech3
Laubenech6;laubenech6
Intento 01 De Alecu;alecu1
Ramiromorales1;ramiromorales1
Pabloziliani1;pabloziliani1
Intento 05 De Facundo Batista;facundobatista5
Intento 04 De Facundo Batista;facundobatista4
Laubenech4;laubenech4
Pabloziliani2;pabloziliani2
Intento 03 De Cesar Roldan;cesarroldan3
Intento 01 De Hernán Balocco;hernanbalocco1
Versión 1.0 De Nubis;nubis1
Laubenech1;laubenech1
Solo Un Ejemplo;solounejemplo0
Intento 01 De Facundo Batista;facundobatista1
Intento 01 De Juanjo;juanjo1
Laubenech5;laubenech5
Diseño 1 De César Portela;cesarportela1
Versión 2.0 De Nubis;nubis2
Walikioff;walikioff
@``martin Alderete@;martinalderete
Mansoor Rana;compactoexquisito
Variables, Valores Y Objetos;graficos
Un Ejemplo De Class Decorators (Python 3);classdeco
Alejandrodavidweil;alejandrodavidweil
Llamadoasedepyconar2012;llamadoasedepyconar2012
Alejandro J. Cura;alejandrojcura
Ramiro Algozino;ramiroalgozino
Afichepyconar2011;afichepyconar2011
Todo;todo
Saturdaynightninja;saturdaynightninja
Codigo2;codigo2
Codigo1;codigo1
Prueba01;prueba01
Py2exe;py2exe
Tareas Realizadas;tareasrealizadas
Juegos Realizados Por Pyar;juegos
Typus Pocus - Version Final;typuspocus
Worldst;worldst
Osiris (Aka Osiux);osiris
Librerias Para Juegos;libreriasparajuegos
Pyar Tiene Plata, ¡gastémosla!;gastemosla
Mariano Reingart;marianoreingart
Página De Prueba, Por Favor No Borrar!!;buscandogente
@``me@;ariel-barrios
Themostbiggestgamestintheworldst;themostbiggestgamestintheworldst
Guillermo Freschi;guillermofreschi
H;h
Nuevologo;nuevologo
Juanjoconti;juanjoconti
Recetario;recetario
"Reverse (A.k.a. ""esrever"")";reverse
Cómo Generar Un Histograma;histograma
Extraer Direcciones De Email De Un Texto;extraermails
Ttkholamundo;ttkholamundo
Tk Wizards;tkwizards
Winbatt (Ctypes + Powrprof.dll En Win);winbatt
Cálculo De Dígito Verificador Módulo 10;calculardigitoverificadormodulodiez
Tkwindowicon;tkwindowicon
Comunicar Threads Con Colas;comunicarthreadsconqueue
Chequear Interfaces Internet Linux;chequearinterfacesinternetlinux
Interceptar Prints;interceptarprints
Pythoncard;pythoncard
Holamundo;holamundo
Miprimermacro;miprimermacro
Empaquetando Programas De Python Para Windows;crearejecutablewindows
Check Distro Version;checkdistroversion
Creando Un Nuevo Proyecto Python;creandounnuevoproyectopython
Autocomplecion En Consola Interactiva;autocomplecionenconsolainteractiva
Gtk On Tk;gtkontk
Revisar Conexion;revisarconexion
Gmailmail;gmailmail
Obtener Sensacion Termica;obtenersensaciontermica
Matrix Python Toy;matrixpythontoy
Multiprocessing Y Threading;multiprocessingythreading
Empaquetando Programas De Python Para Windows Desde Linux;crearejecutablewindowsdesdelinux
Blowfish Con Blowfishpy;blowfishconblowfishpy
Mini Galeria De Imagenes Bottle;galeria
Hola Mundo Bottle;holamundo
Simplesoapclient;simplesoapclient
Xdg-Sudo;xdg-sudo
Mapeando Memoria;mapeandomemoria
Nado Sincronizado;nadosincronizado
Mini Space Invaders;minispaceinvaders
Nado Sincronizado;nadosincronizadodisco
Como Levantar Un Servidor Http Simple;comolevantarunservidorhttpsimple
Decodificar Entities De Html;decodehtmlentities
Tkbuttonicon;tkbuttonicon
Reloj Digital;relojdigital
Root Check;rootcheck
Listar Procesos;listarprocesos
Servidor Interfase Com;servidorcom
Tkonlineofflineicon;tkonlineofflineicon
Test Formulario Con File Upload En Django;testformularioconfileupload
Obtener Clase Original Cuando Hay Herencia;obtenerclaseoriginalcuandohayherencia
Saber Si N Libreria Esta Instalada;sabersinlibreriaestainstalada
Python Version Check;pythonversioncheck
Factura Con Pyfpdf;facturapyfpdf
Manejo Simple De Xml (Simplexmlelement);simplexmlelement
Chequeo De Paquetes Con Apt;chequeo_de_paquetes_apt_linux
Qt Multi Thread;qtmultithread
Qt Imprimir Pagina Web A Pdf;qtimprimirpagina
Extraer Un Archivo De Texto Embebido En Un Recurso .qrc;qtextraertextorecurso
Dbfpy;dbfpy
Keyboard Leds Demo;keyboardledsdemo
Validar Cuit;validarcuit
Iterar Sobre Pares;iterarsobrepares
Obtener Ip Publica;ippublica
Boton Grafico Tk;botongraficotk
Modificación De Estilos En Rst2pdf;estilosrst2pdf
Aletras;aletras
Entendiendounicode;entendiendounicode
Como Levantar Un Servidor Http Multithread;comolevantarunservidorhttpmultithread
Tkversionprint;tkversionprint
Detectar Y Notificar Dispositivos Usb;notificardispositivosusb
Psycospeedup;psycospeedup
Ventana De Password Que Vibra;ventanapasswordvibra
La Cuestión;normalizarcaracteresunicode
Tkscrollwhell;tkscrollwhell
Bloquear Click Del Mouse;bloquearclickdelmouse
Email Con Adjunto;emailconadjunto
Obtener La Cantidad De Bytes Transferidos;obtenerbytestransferidos
Locals De Una Funcion Que Lanzo Una Excepcion;localsdeunafuncionquelanzounaexcepcion
Obtener Ubicacion Geografica;obtenerubicaciongeografica
Alarma Precaria;alarmaprecaria
Display Lcd De 7 Segmentos;displaylcd7segmentos
Comobajartodoslosbuffersaldisco;comobajartodoslosbuffersaldisco
Gtkvbox;vbox
Grid;grid
Gtkholamundo;holamundo
Gtkstatusicon;statusicon
Gtkerrorhandler;errorhandler
Gtkmultithread;multithread
Gtkdialog;dialog
Gtkfuncionrunner;funcionrunner
Gtkentrysolonumeros;entrysolonumeros
Gtkrunner;runner
Xmlrpcserver;xmlrpcserver
Gtkconfirmclose;confirmclose
Gtk Webkit Editor;webkiteditor
Button;button
Gtkprintnongtk;printnongtk
Gtk Label Con Color;labelconcolor
Gtkrichtext;richtext
Buttonbox;buttonbox
Menu;menu
Gtkhbox;hbox
Gtk Stock Items;stockitems
Gtk Browser Con Web Inspector;browserconwebinspector
Gtk Auto Complete;autocomplete
Gtkentry;entry
Gtk Listview;listview
Erorhandler;erorhandler
Emulador De Terminal Con Gtk Y Vte;emuladorterminal
Gtkholamundooo;holamundooo
Gtkgladeholamundooo;gladeholamundooo
Multithread2;multithread2
Pasarrecaptcha.rst;pasarrecaptcha
Progressbar Y Urllib2;progressbarurllib2
Xml A Diccionario;xmladiccionario
Bandera Para Pyar;bandera
Eugenia Bahit;eugeniabahit
Martingaitan;martingaitan
Facundo Batista;facundobatista
Robertoperdomo;robertoperdomo
Guillermogonzalez;guillermogonzalez
Mensajes Excepcionales;mensajesexcepcionales
Propuestas De Sede;pyconar2015
Temp;temp
Lucianorossi;lucianorossi
Anthony Lenton;anthonylenton
David Litvak;davidlitvak
@luistucho@;luis-nagel
Tareasrealizadas;tareasrealizadas
Bar;bar
Migrando La Lista De Correo;migracion
Tablaides;tablaides
Marcelo Gustavo Ametller;maram
Willsantana;willsantana
Asociación Civil:;asociacioncivil
Manuelquinones;manuelquinones
Cafeconf 2006;cafeconf2006
*pyday Junín 2015*;pydayjunin2015
Filly;filly
Probando Send File;sendfile
Call For Charlas;callforcharlas
Pruebaloca;pruebaloca
Ricardo Quesada;ricardoquesada
Ayudadecontenidos.py;ayudadecontenidospy
Mariano Guerra;marianoguerra
Condornet;condornet
Unmanualencadauniversidad;unmanualencadauniversidad
Vbox;vbox
Obteniendo Respuestas;obteniendorespuestas
Adrián Pardini;adrianpardini
Scipyar;scipyar
Listab;listab
Grupo De Entusiastas De Python;grupo-de-entusiastas-de-python
Titulocharla;videotemplate
Diego Ahumada;diegoahumada
¿cómo Hacer Una Conferencia?;howtoconferencia
Toquetonesgroup;toquetonesgroup
Ramiro Morales (Aka Cramm);ramiromorales
José Luis Dallapiccola;joseluisdallapiccola
Danielmendoza;danielmendoza
Remerasv3;remerasv3
Alfonso Palomares;alfonsopalomares
Sergio Vernis;sergiovernis
Web2py;web2py
Ezequiel Diaz Marquez;ezequielmarquez
Leonardovidarte2;leonardovidarte2
Manuelarguelles1;manuelarguelles1
Aprovechen Antes De Que Limpiemos Los Shablones!;pedidos
Leonardovidarte3;leonardovidarte3
Leonardovidarte4;leonardovidarte4
Manuelarguelles2;manuelarguelles2
Luciotorre1;luciotorre1
Manuelarguelles3;manuelarguelles3
Leonardovidarte1;leonardovidarte1
Ideas Para El Nuevo Sitio De Pyar;nuevositio
User Preferences;preferenciasdelusuario
Webkit;webkit
Pyconar2014;pyconar2014
Javier Castrillo;javiercastrillo
Pyday;pyday
Pyday2;pyday2
Alojamiento Para Aplicaciones Web Python;alojamientowebpython
@``me@;wwwhexactacom
Infraestuctura;infraestuctura
Hectorsanchez;hectorsanchez
Hipbar;hipbar
Características Esenciales Y Deseables En Un Ide;ideal
Ejercicios;ejercicios
Gabriel Genellina;gabrielgenellina
Hipersayan_x;gonzalopedone
Walter Alini;walteralini
Material;material
Segundoproyecto;segundoproyecto
Como Crear Snippets En El Wiki;snippets
Guardar Historial En Consola Interactiva;guardarhistorialenconsolainteractiva
Cherrypy;cherrypy
2018;2018
Johnlenton;johnlenton
Charlas Abiertas De Python En La Tribu;charlasabiertas2010
Pycamp.orm, Haciendo Facil Usar Sqlalchemy :);pycamporm
2008;2008
Pyar Mencionado Entre Los Grupos De Interés De Python;listadodepigs
Gvr Junto A La Bandera De Pyar;gvrybandera
2010;2010
Nueva Release De Python;python24
2009;2009
2007;2007
20/12/2004;2004
Foto By Mail;fotobymail
Pythonpalm;pythonpalm
1/07/2011;2011
Inmersión En Python Ver. 5.4;inmersion54
2005;2005
2006;2006
Aritmética Decimal;aritmeticadecimal
Nicolás Pace;nickar
Miembrosdepyar;miembrosdepyar
Labanderadepyar;labanderadepyar
Folletoscarteles;folletoscarteles
Texteditordeadmatch;texteditordeadmatch
Ideas Para Programar;ideas-para-programar
Archive;archive
Pythoneneldiaadia;pythoneneldiaadia
Actividades Previas;actividadesprevias
Emiliano Dalla Verde Marcozzi;emilianodallaverdemarcozzi
Empresas Y Profesionales Que Trabajan Con Python;empresasyprofesionales
Config;config
Adopta Un Newbie;adoptaunnewbie
Admingroup;admingroup
Proyecto;proyecto
Roberto Rodríguez;robertorodriguez
Kola;kola
Pycon;pycon
Reunión Xx - Dd/mm/aaaa - Lugar;reuniontemplate
Tareas Pendientes;tareaspendientes
Pycon Argentina 2012 - Buenos Aires;pyconar2012bsas
Pl/python: Python Dentro De Postgresql;plpython
Diego Sarmentero;diegosarmentero
Hernan Olivera;hernanolivera
Orm001ogv;orm001ogv
Pyweek;pyweek
Tracebackinternationalizationproposal;tracebackinternationalizationproposal
Planeta;planeta
Arturo Elias Anton;arturoeanton
Foo;foo
Santiago Bruno;santiagobruno
El Circo Errante;circoerrante
Pruebavideo;pruebavideo
Pyqt;pyqt
Taller De Programación De Juegos;tallerjuegos
Introducción A Python;introduccionapython
!foobar (Virtualenv, Buildout, Nose);foobar
Introducción Al Desarrollo Web Ii;introduccionaldesarrollowebii
Python 3000;python3000
Optimizando Python;optimizandopython
Introducción Al Uso Y Desarrollo Con Plone;introduccionaplone
Django;django
Introducción Al Desarrollo Web;introduccionaldesarrollowebi
Introducción A La Programación;introduccionalaprogramacion
Wxpython;wxpython
Introducción A Las Interfaces Gráficas De Escritorio Ii;introducciongui_ii
Twisted;twisted
Introducción A Las Interfaces Gráficas De Escritorio I;introducciongui_i
Matiasbellone;matiasbellone
Proyecto Edupython;edupython
Roberto Allende (Aka R0ver);robertoallende
Donde Viven Los Miembros De Pyar ?;miembrosdepyar
Leandro E. Colombo Viña;leandrocolombovina
Simonrodriguez;simonrodriguez
Stickers;stickers
Mariano Garcia;marianogarcia
Invitacioncuentawave;invitacioncuentawave
Pruebacal;pruebacal
2010 10 15;2010-10-15
Pycon2010;pycon2010
2010 10 16;2010-10-16
2010 09 04;2010-09-04
Nicolas Cesar;nicocesar
Pyconapp 2011;pyconapp
Manuel Kaufmann;kaufmannmanuel
Yaco (Santiágo Peresón);santiagopereson
Angel Freire;angelfreire
Pycon Argentina 2009;transportecompartido
Pycon Argentina 2009;alojamientocompartido
Dsitrubucion Afiches;distribucionafiches
Llamado A Revisores - Pycon Arg. 2012;llamadorevisores
Faltan Pocos Dias Para La Conferencia Y Necesitamos Voluntarios Para Algunas Tareas;llamadovoluntarios
Temas Pendientes;temaspendientes
Tareas Pendientes;tareaspendientes
Instrucciones Para Encargados De Aula;encargadosaula
Llamado A Sponsors Pycon Argentina 2012;llamadosponsors
Llamado A Propuestas;llamadopropuestas
Workshop Para Principiantes En Pycon Argentina 2012;workshop
Pycon Argentina 2012;transportecompartido
Pycon Argentina 2012;alojamientocompartido
Llamado A Sedes Pycon Argentina 2013;llamadosedes
Ayuda;ayuda
Couchsurfing En Pyconar2013;couchsurfing
Transportsurfing En Pyconar2013;transportsurfing
Etiquetapyar;etiquetapyar
La Bandera De Pyar Viaja Por El Mundo;labanderadepyar
Martín Volpe;martinvolpe
Recetariointerfaces_graficas;recetariointerfaces_graficas
Martín Chikilian;martinchikilian
Declaración De Diversidad;diversidad
Leandro Monk;leitomonk
Alejandro Santos;alejandrosantos
Python Ya;python-ya
Desarrollador Jr O Ssr Django Y Javascript;desarrollador-jr-o-ssr-django-y-javascript
Mini Ejemplos;miniejemplos
Pruebamail;pruebamail
Pycamp;pycamp
Patriciomolina;patriciomolina
;xml
Irc;irc
Hitchhiker's Guide To Make A Pyconar2010;hgttp
Gauchitogil;gauchitogil
Reuniones;reuniones
Chistes Y Qotw (Frases De La Semana);chistes
Mini Preguntas Frecuentes;minifaq
Contribuyendo Al Wiki;contribuyendoalwiki
Marcos Dione;marcosdione
Marcelofernandez;marcelofernandez
Dominios De Python Argentina;dominios
Primerproyecto;primerproyecto
Pycamp2009resultados;pycamp2009resultados
Maximiliano Churichi;maximilianochurichi
Call For Charlas Pyconar Anio;callforcharlastemplate
Emilio Ramirez;emilioramirez
Comparación De Entornos De Desarrollo;ides
Distutils;distutils
Diego Sarmentero (Gatox);gatox
Joaquinsorianello;joaquinsorianello
Pyar Y Python En Los Medios;enlosmedios
Marianoguerra/holamundo;holamundo
Aprendiendo Python;aprendiendopython
Santiago Suarez Ordoñez;santiagosuarezo
Cdpedia On Android;cdpedia-on-android
Remeras De Pyar;remeras
Martín Conte Mac Donell;martincontemacdonell
Lucio Torre;luciotorre
Migración A Debian Wheezy;servidor
@``me@;pabloalejandrocostesich
Callforcharlasinvitaciontemplate;callforcharlasinvitaciontemplate
Juanfisanotti;juanfisanotti
Pep;pep
Charlas;charlas
Sebastián Lezica;sebastianlezica
Archivo;archivo
Trabajos;trabajos
Proximareunion;proximareunion
@``me@;alecutest2
Nicolás Echániz;nicoechaniz
Clases De Python;clasesdepython
Ricardo Kirkner;ricardokirkner
Web Server Gateway Interface;wsgi
Sebastián;sebastianseba
Buzospyar;buzospyar
Horacio Durán (Perrito);horacioduran
Visualbasic;visualbasic
Taller Olpc;tallerolpc
Gonzalolarralde;gonzalolarralde
Foro Y Redes;listadecorreo
Albertopaparelli;albertopaparelli
Brygevel;brygevel
Admin;admin
Juanjociarlante;juanjociarlante
@``me@;venenito
Alberto Pastor;alberto-pastor
Google Summer Of Code (Becas);gsoc
Renzo Carbonara;renzocarbonara
Python Argentina;pyar
Interesados En Recibir Ofertas De Trabajo Utilizando Python;interesadosentrabajo
Fullsearchcachedcategorywxpython;fullsearchcachedcategorywxpython
Interfaces Gráficas (Gui);interfacesgraficas
Pablo Seminario;pabloseminario
Mariano Mara;marianomara
Google Summer Of Code 2023 (Ideas);2023
Google Summer Of Code Ideas (Index);ideas
Google Summer Of Code 2024 (Ideas);2024
Google Summer Of Code 2022 (Ideas);2022
2019;2019
Unicode;unicode
Foro Y Redes;foro_y_redes
Acceso A Bases De Datos Desde Python: Interfaz Db-Api;dbapi
Marcos Vanetta - Malev;marcosvanetta
Ariel Alvarez;ariel-alvarez
Badcontent;badcontent
Compilarpython;compilarpython
Gnomeart;gnomeart
Información;informacion
Contabilidad;contabilidad
Sponsoring;sponsoring
Logistica Durante El Evento;logistica
Eleccion Del Equipo;equipo
Marketing;marketing
Lugar;lugar
Logistica Pre Evento;logistica_pre
Selección De Disertantes;disertantes
Proyectos Pyar;proyectos
Cronogramapyconar2011;cronogramapyconar2011
Fotos!;2016
Actividades;actividades
Test;test
Posibles Sedes Para El Pycamp 2016;posiblessedes
¿un Qué?;2023
How To Organizar Un Pycamp;howto
¿un Qué?;2017
Actividades;actividades
Posibles Sedes Para El Pycamp 2017;posiblessedes
Ayuda Economica;ayudaeconomica
2018;2018rst
Que Se Hace En Un Pycamp;quesehace
Pycamp 2010;2010
Ático De Pycamp 2010;attic
Que Llevar;quellevar
Interesados En Asistir A Pycamp 2010;interesados
Delinterior;delinterior
Cronograma;cronograma
Torneo Ping Pong;torneopingpong
Temas Propuestos;temaspropuestos
Tareas Pendientes;pendientes
¿un Qué?;2022
Evento Suspendido Por La Pandemia Covid-19;2020
Código De Conducta;coc
2009;2009
Sprint Django;sprintdjango
Como Llegar En Auto Particular;comollegar
Pycamp Argentina 2009;quienesvan
Grupos Para Ir A Pycamp;transporte
Fotos Del Pycamp 2009;fotos
Naushikang;naushikang
Requerimientos Dietarios;requerimientosdietarios
Temas Propuestos;temaspropuestos
Programa;programa
¿un Qué?;2018
Actividades;actividades
Pycamp 2011;2011
Temas Desarrollados;temasdesarrollados
Pycamp 2011: Proyectos En Los Que Laburamos;proyectoslaburados
Que Llevar;quellevar
Interesados;interesados
Desde Cordoba Capital;desdecordobacapital
Temas Propuestos;temaspropuestos
¿un Qué?;2021
Pycamp 2012;2012
Idea: Editor De Ebooks Online Y Colaborativo;editordeebooks
Que Llevar;quellevar
Interesados;interesados
Hackeando Kinect En El Pycamp;kinect
Cronograma;cronograma
Proyectos;temaspropuestos
Workshop Para Principiantes Pre-Pycamp;workshop
Proyectos En Los Que Se Trabajó Durante El Pycamp 2012;proyectos
Pycamp 2015;2015
Alineador De Antenas;actividades
Votación De Sede Pycamp 2015;votos
Posibles Sedes Para El Pycamp 2015;posiblessedes
Pycamp 2014;2014
Votación Pycamp 2014;votos
Distribución De Humanoides En Habitaciones;rooming
Becas;becas
Temas Propuestos Para El Pycamp 2014;temaspropuestos
Posibles Sedes Para El Pycamp 2014;posiblessedes
Organizar Un Pycamp;organizandounpycamp
2018;2018
¿un Qué?;2019
Actividades;actividades
Posibles Sedes Para El Pycamp 2019;posiblessedes
Pycamp 2013;2013
Votación Pycamp 2013;votos
Organización De Habitaciones;habitaciones
Ayuda Económica Para Ir Al Pycamp;becas
Temas Propuestos Para El Pycamp 2013;temaspropuestos
Posibles Sedes;posiblessedes
Mudanza De Servidores De Dns;mudanzaservidoresdominio
Tutorial;tutorial
Test;test
Hugo Ruscitti;hugoruscitti
Benjapy;benjapy
Soneban;soneban
Salbarracin;salbarracin
Gilgamezh;gilgamezh
Cmenta;cmenta
Mauriciobaeza;mauriciobaeza
Lacpac23;lacpac23
Sysface;sysface
Idoneus;idoneus
Juanandres438;juanandres438
Alejandro_0101;alejandro_0101
Wolchesky;wolchesky
Sebbasfernandez;sebbasfernandez
Hatsem78;hatsem78
Pamparider;pamparider
Zontxo;zontxo
Numaelis;numaelis
Centertek;centertek
Maurosl;maurosl
Gbaume;gbaume
Nrivollier;nrivollier
Patricio81;patricio81
Matibarriento;matibarriento
Fernandolamasw;fernandolamasw
Luciano1994;luciano1994
Walexnet;walexnet
Inafontan;inafontan
Jquintas;jquintas
Sam;sam
Vonpixarg;vonpixarg
Andresdevops;andresdevops
Martingaitan;martingaitan
Amjalca;amjalca
Facundo Batista;facundobatista
Inokis;inokis
Btenaglia;btenaglia
Cesarroldan;cesarroldan
Fideo;fideo
Correanicolas;correanicolas
Gavalen;gavalen
Matiasgabrieln;matiasgabrieln
Uxun;uxun
Danymana;danymana
Herchila;herchila
Andres14;andres14
Mmartinovic;mmartinovic
Jigcau89;jigcau89
Debrivero;debrivero
Fullpaint;fullpaint
2immarketing;2immarketing
Crisovando;crisovando
Sebastián Seba;ssebastianj
Ginomarcellino;ginomarcellino
Knonical;knonical
Ssergio;ssergio
Walter Alini;walteralini
Agustin92;agustin92
Danis;danis
Humitos;humitos
Juanpablo064;juanpablo064
Bgeninatti;bgeninatti
Selfprint;selfprint
Mirlo;mirlo
Buongarzoni;buongarzoni
Teury;teury
Sserrano44;sserrano44
Keyleron;keyleron
Tomyfer11;tomyfer11
Skrullchull;skrullchull
Ignacionicolasalvarez;ignacionicolasalvarez
Edwinr2000;edwinr2000
Tapicer;tapicer
Noeliabruscoli;noeliabruscoli
Jotajota 2012;jotajota-2012
Jdromero1;jdromero1
Becerra1982;becerra1982
Empoisoner;empoisoner
Joseernestomoralesventura;joseernestomoralesventura
Carloscarlossouthpalscom;carloscarlossouthpalscom
Tin;tin
Franco_jerke;franco_jerke
Debianitram;debianitram
Carasucia;carasucia
Falcho;falcho
Alejandra;alejandra
Gustavofurlan;gustavofurlan
Intligente;intligente
Lucaspyar;lucaspyar
Acondori;acondori
Mbaragiola;mbaragiola
Guido;guido
Rbellanti;rbellanti
Ekimal;ekimal
Frobriel;frobriel
Pab;pab
Eliobastias;eliobastias
Ernestto;ernestto
Diegoduncan21;diegoduncan21
Dgonzalez;dgonzalez
Ferjavrec;ferjavrec
Armando;armando
Jorgermc123;jorgermc123
Fausto10;fausto10
Victor;victor
Seelaff;seelaff
Dnc91;dnc91
Ramon27;ramon27
Sebasgiustra;sebasgiustra
Werben;werben
Scrdsindia;scrdsindia
Oconner;oconner
Noticias;noticias
Sebastian Bassi;sebastianbassi
Gabriel Brunacci;gabrielbrunacci
Whyfloss Conference Bsas;whyfloss
Lista De Charlas Realizadas;lista-de-charlas-realizadas
Eventos;eventos
Reunion66;reunion66
Sprint Olpcserver;olpcserver
Wikipediaoffline1;wikipediaoffline1
Pyconargentina2009;pyconargentina2009
Pyconar 2017;pyconar2017
Pyconargentina2010;pyconargentina2010
Propuesta De Sede Para Pycon Argentina 2018;propuestasedecaba
Organización Del Pyday Rafaela 2010;pydayrafaela2010
Pyar En Cafeconf 2006;cafeconf2006
Pyconar 2016;pyconar2016
Pyday Buenos Aires 2010;pydaybuenosaires2010
Pyconar 2013;pyconar2013
Pyconar 2020;pyconar2020
Propuesta De Sede Para Pycon Argentina 2020;propuestaejemplo
Viaje;viaje
¿quiénes Somos?;propuestasedebahia
Carteles;carteles
Propuestas De Sedes;pyconar2014
Propuesta Sede Córdoba:;propuestasedecordoba
Pyconar 2013;pyconar2013
Python En Las 8jrsl;8jrsl
Propuesta Tentativa Pyconar 2013 En Córdoba Capital;propuestadepycon2013encordobacapital
Pycon Argentina 2013 - Rosario;propuestadepycon2013enrosario
Pycon 2006;pycon2006
Organización Pyday Rafaela 2012;pydayrafaela2012
Pyconar 2018;pyconar2018
2da Jornada De Python En Santa Fé;2jornadapythonstafe
Pycon Argentina;procesoseleccion
Haciendo Videojuegos Con Pilas;pythonpilas
Mythbusters: Tests;pythontests
Comunidad, Anarquía Y Subversión;comunidadanarquiasubversion
Python, Sugar Y Robotica Educativa;pythonsugaricaro
Pyday 2011;cordoba
Conferencias;conferencias
Reunion66;reunion66
"Reunión 27 - 07/05/2008 19hs - Bar ""el Clásico"", Buenos Aires";reunion27
Reunión 33 - 15/11/2008 - Balcarce Lounge, Rosario;reunion33
Reunión 32 - 18/09/08 - Except, Córdoba Capital;reunion32
"Reunión 29 - 09/05/08 - Bar ""plataforma"", Santa Fe";reunion29
Reunión 28 - 08/05/2008 - Facultad De Ciencias Exactas Físicas Y Naturales, Subsuelo Aula 100, Córdoba, Argentina;reunion28
"Reunión 34 - Miércoles 03/12/2008 - Bar ""el Imaginario Cultural"", Buenos Aires - 19:30hs";reunion34
"Reunión 30 - Jueves 21/08/2008 - Bar ""el Clásico"", Buenos Aires";reunion30
Reunión 25 - 16/02/2008 - Centro Allen Gardiner, Los Cocos, Córdoba;reunion25
Reunión 26 - 05/03/2008 - El Clásico Bar, Buenos Aires;reunion26
Reunión 31 - 06/09/08 - Balcarce Lounge, Rosario;reunion31
Reunion68;reunion68
Reunion69;reunion69
Reunion67;reunion67
Reunión 42 - 28 De Mayo De 2010 - Bar Dr Mason, Buenos Aires - 19:00;reunion42
Reunión 43 - Martes 24 De Agosto - Ciudad De Cordoba, En Alfonsina De Belgrano -- 19hs;reunion43
Reunión 40 - Sábado 06/03/10 - Durante El Pycamp, En Verónica;reunion40
Reunión 45 - Jueves 16 De Diciembre - Ciudad De Buenos Aires, En El Bar De La Esquina De Medrano Y Guardia Vieja - 19hs;reunion45
Reunión 41 - Sábado 08/05/10 - Al Finalizar El Pyday, En Rafaela;reunion41
Reunión 46 - 7 De Diciembre - Ciudad De Cordoba, En Alfonsina (Casa Tomada) Belgrano 763.;reunion46
Reunión 44 - Jueves 26 De Agosto - Ciudad De Buenos Aires, En El Bar De La Esquina De Medrano Y Guardia Vieja - 19hs;reunion44
Reunión 35 - Viernes 13/03/2009 - Buenos Aires - 19:30hs;reunion35
Reunión 39 - Martes 17/11 - Buenos Aires - 19:00 Hs;reunion39
Reunión 38 - Sábado 7/11 - Rafaela - 20:00 Hs;reunion38
Reunión 36 - Sábado 02/05/09 - Bar El Cairo, Rosario;reunion36
"Reunión 37 - Sábado 22/08/09 - Bar ""el Cairo"", Rosario, Argentina - 15.00hs";reunion37
Reunión 24 - 19/09/2007 - Hip Bar, Buenos Aires;reunion24
Reunión 22 - 25/04/2007 - Hip Bar;reunion22
Reunión 23 - 11/08/2007 - Except;reunion23
Reunion70;reunion70
Reunión 01 - 09/09/2004 - La Cigale;reunion01
Reunión 04 - 09/12/2004 - Hip Bar;reunion04
Reunión 03 - 11/11/2004 - Corner Bar;reunion03
Reunión 02 - 21/10/2004 - Corner Bar;reunion02
